Calories,Carbs,Description,Fat,Image,Ingredients,Protein,Title,link
597,38 g,"White fish is a great source of protein, and you know you need more! Add the wonderful fats of avocado and a variety of spices and you have fish tacos that will carry you back to fit. This meal can get a little spicy—jalapenos!—but you can take it.",25 g,bill-phillips_back-to-fit-recipes_graphic-7_grilled-fish-tacos-header-960x540.jpg,"1 tbsp olive oil;4 fruit (2  dia) limes, raw;5 clove garlic, minced;2 tsp cumin;24 oz bluefin tuna;1 cup, pureed avocado;¼ whole onion, sliced;2 whole jalapeno pepper, diced;2 tbsp cilantro;8 whole corn tortilla;8 leaf lettuce",56 g,Bill Phillips Back To Fit Recipes: Grilled Fish Soft Tacos,https://www.bodybuilding.com/recipes/bill-phillips-back-to-fit-recipes-grilled-fish-soft-tacos
2703,108 g,"Fry bread has never been considered a healthy option—until now, that is. This protein-rich take on the traditional Native American dish adds a muscle-building twist that's sure to feed your gains and fuel your workouts. Customize the recipe to make it your perfect fried treat, or incorporate the baked version into your daily meal plan.",224 g,6-protein-rich-morning-meals-graphics-4-header-960x540.jpg,½ tbsp cinnamon;1 fl oz water;½ tsp baking soda;1 cup flour;1 cup coconut oil;1 tsp salt;1 scoop grenade hydra 6,63 g,Indian Fry Bread,https://www.bodybuilding.com/recipes/indian-fry-bread
398,40 g,"Who doesn't love pancakes? With the addition of the delicious White Chocolate Raspberry Combat Crunch bar, you'll turn these regular pancakes from great to outstanding. They're also loaded with protein, which makes them the perfect choice for a post-workout protein refuel, and they're perfect for replenishing after hitting legs or after pushing through heavy sets of compound lifts. With a total cook and prep time of 12 minutes, these loaded flapjacks are a breeze to whip up.",18 g,white-chocolate-raspberry-protein-pancakes-header-960x540.jpg,"½ cup whole-wheat flour;1 scoop MusclePharm Combat Power, Vanilla;1 tbsp granular erythritol;1 tsp baking powder;½ cup skim milk;1 whole egg;¼ cup unsweetened applesauce;¼ cup pumpkin puree;¼ tsp vanilla extract;¼ cup frozen raspberries;¼ cup frozen raspberries;2 tbsp Walden Farms Syrup;2 tbsp sweet Spreads White Chocolate Coconutter;4 tbsp white chocolate chips;½ bar MusclePharm Combat Crunch Bar, White Chocolate Raspberry",19 g,White Chocolate Raspberry Protein Pancakes,https://www.bodybuilding.com/recipes/white-chocolate-raspberry-protein-pancakes
108,0 g,Enjoy this tasty turkey sausage recipe.,2 g,post-pregnancy-nutrition-recipe-headers-sausage-960x540.jpg,"2 lb ground 99% fat-free turkey breast;¾ tsp ground ginger;1 tsp salt;¼ tsp cayenne pepper;1½ tsp, ground black pepper",23 g,Jamie's Turkey Breakfast Sausage,https://www.bodybuilding.com/recipes/jamies-turkey-breakfast-sausage
211,23 g,"Doughnuts! Doughnuts seem to be all the rage these days, but what if I told you that you could make your own, or that they could be loaded with protein and be on par with regular doughnuts when it comes to taste? Yeah, I'm assuming I have your attention. These take a little longer to prep, but the extra time spent in the kitchen is well worth the wait.",9 g,dark-chocolate-and-coconut-protein-doughnuts-header-960x540.jpg,"½ cup whole-wheat flour;1 scoop musclePharm Combat Powder (Chocolate);2 tbsp cocoa powder, unsweetened;3 tbsp powdered Stevia;¾ tsp baking powder;1 whole egg;¼ cup unsweetened almond milk;¼ cup nonfat plain Greek yogurt;2¼ cup pumpkin, canned;4 tsp coconut extract;2 tbsp sweet Spreads Vanilla Cupcake Coconutter;2 tbsp nonfat plain Greek yogurt;3 tbsp unsweetened almond milk;2 tbsp powdered Stevia;2 tbsp dark chocolate chips",9 g,Dark Chocolate and Coconut Protein Doughnuts,https://www.bodybuilding.com/recipes/dark-chocolate-and-coconut-protein-doughnuts
617,94 g,"You can't forget waffle's best friend: pancakes! That would be silly. Pumpkin lovers, you'll fall head over heels for these flapjacks that are topped with pumpkin vanilla pudding.",9 g,pumpkin-pie-protein-pancakes-header-960x540.jpg,"½ cup whole-wheat flour;1 scoop MusclePharm Combat Powder (Cinnamon Bun);1 tbsp powdered Stevia;1 cup pumpkin, canned;¼ cup unsweetened almond milk;1 whole egg;½ tsp pumpkin pie spice;½ tsp baking powder;½ tsp vanilla extract;2 tbsp sugar-free vanilla pudding mix;1 cup pumpkin, canned",39 g,Pumpkin Pie Protein Pancakes,https://www.bodybuilding.com/recipes/pumpkin-pie-protein-pancakes
682,75 g,"By golly, this might be one of my greatest creations yet! The warm ooey-gooeyness of a sticky cinnamon roll is perfected when flattened into a golden waffle and jam-packed with protein. Hubba, hubba! Say no more and get to making this recipe, stat.",10 g,cinnamon-roll-protein-waffles-header-960x540.jpg,"½ cup whole-wheat flour;⅔ scoop MusclePharm Combat Powder (Cinnamon Bun);1 tbsp powdered Stevia;½ tsp cinnamon;¼ tsp baking powder;¼ cup unsweetened almond milk;2 tbsp unsweetened almond milk;1 whole egg;¼ cup pumpkin, canned;½ tsp vanilla extract;¼ cup nonfat plain Greek yogurt;1 cup fat-free cream cheese;1 tbsp powdered Stevia",73 g,Cinnamon Roll Protein Waffles,https://www.bodybuilding.com/recipes/cinnamon-roll-protein-waffles
252,1 g,"Nothing says party time like a serving of good-ol wings. These coffee-inspired nuggets turn tradition on its head. The combination of coffee beans, cayenne, and smoked paprika will give you that extra kick, while the addition of cinnamon and coconut sugar add a touch of sweetness.",12 g,savory-cold-brew-wings-header-960x540.jpg,4 lb chicken drumette;⅓ cup coffee;2 tbsp paprika;1 tsp cayenne pepper;1 tbsp cinnamon;2 tbsp olive oil,34 g,"Savory ""Cold Brew"" Wings",https://www.bodybuilding.com/recipes/savory-cold-brew-wings
345,21 g,Losing weight isn't about skipping meals. Learn how to shed unwanted fat the right way with this turkey pasta recipe.,12 g,eat-more-food-to-loose-more-weight-graphics-3-header-960x540.jpg,"2 tbsp extra virgin olive oil;1 lb ground 99% fat-free turkey breast;½ whole onion, sliced;1 whole stalk celery;1 salt to taste;1 pinch pepper;¼ cup, chopped roasted red pepper;3 clove garlic, minced;2 cup tomatoes, crushed, canned;1 tbsp tomato paste;1 tbsp, leaves oregano;1 tsp brown sugar;¼ cup fresh basil leaves, chopped;6 whole zucchini, finely shredded;2 tbsp low-fat parmesan cheese",39 g,Turkey Bolognese Zucchini Pasta,https://www.bodybuilding.com/recipes/turkey-bolognese-zucchini-pasta
147,11 g,Here's a special edition of an American classic that clocks in at a preparation speed of five minutes or less!,2 g,tuna-melt-patties-header-960x540.jpg,"6 oz tuna, canned in water;1 egg whites;2 tbsp rolled oats;2 tbsp onion powder;¼ tsp garlic powder;salt to taste;2 tbsp mozzarella cheese",21 g,Tuna Melt Patties,https://www.bodybuilding.com/recipes/tuna-melt-patties
221,17 g,Nothing is as simple as starting the day with homemade protein pancakes. They'll satisfy just about everyone's taste preferences and have major health benefits.,2 g,get-hard-easy-way-header-960x540.jpg,¼ cup raw oats;¼ cup fat-free cottage cheese;½ scoop(s) unflavored whey protein powder;½ cup egg whites,34 g,Healthy Pancake Breakfast,https://www.bodybuilding.com/recipes/healthy-pancake-breakfast
88,11 g,"If you're like most people, you like to enjoy sleeping in on the weekends and getting up to a brunch that reminds you of your mom's home cooking. Rather than opting for high calorie pancakes or waffles, try this healthier version that you can whip up yourself in minutes.",1 g,7-quick-n-easy-lunch-recipes-for-a-healthy-diet_12-header-960x540.jpg,1 scoop(s) vanilla whey protein powder;3 large egg whites;⅓ cup rolled oats;½ tsp baking soda;1 tsp vanilla extract;1 cup mixed berries;1 tsp powdered Stevia;1 tbsp sugar-free maple syrup,9 g,Protein Pancakes With Fruit,https://www.bodybuilding.com/recipes/protein-pancakes-with-fruit
285,44 g,"Stir-fry dishes are simple to create and typically only take ten minutes tops. If you purchase pre-chopped vegetables already, your prep time will be further reduced. There are many different variations of sauces you can come up with so be sure to try a variety of your own. Keep in mind that with a few ingredient swaps, you can also really improve the nutritional content of most sauce recipes.",6 g,chicken-stir-fry-header-960x540.jpg,"1 cup brown rice;½ tbsp honey;1½ tsp ginger, minced;½ cup chicken bone broth;1 tbsp soy sauce;1 tbsp olive oil;1 cup snow peas;1 whole onion, sliced;½ cup mushrooms, sliced;⅛ cup, sliced red bell pepper, sliced;3 oz chicken breast",15 g,Chicken Stir-Fry,https://www.bodybuilding.com/recipes/chicken-stir-fry
114,6 g,This is a great alternative to eating your tuna that boasts a high protein content and a healthy level of dietary fat.,6 g,7-quick-n-easy-lunch-recipes-for-a-healthy-diet_08-header-960x540.jpg,"1 tbsp salad dressing, KRAFT Mayo Light Mayonnaise;2 cup shredded romaine lettuce;½ cup mixed salad greens;1 tbsp olive oil;1 tsp garlic powder;¼ cup raw oats;1 large egg whites;1 can tuna, canned in water",10 g,Tuna Burger Salad,https://www.bodybuilding.com/recipes/tuna-burger-salad
353,47 g,"If you're able to run home quickly for your lunch break or work in an office that has a good lunchroom with fridge and microwave, this is a delicious, well-balanced meal to prepare.",4 g,wednesday-baked-potato-extreme-header-960x540.jpg,"½ cup fat-free cottage cheese;2 oz low-fat cheddar cheese;¼ cup salsa;¼ cup green onion, chopped;1 medium (2+-1/4  to 3-1/4  dia.) potatoes",32 g,Wednesday Baked Potato Extreme,https://www.bodybuilding.com/recipes/wednesday-baked-potato-extreme
79,10 g,"For those who just can't get enough ranch dip, this healthier alternative to chips and dip is sure to please. As an added bonus, the dip itself is loaded with muscle-building protein.",2 g,raw-veggies-with-ranch-dip-header-960x540.jpg,"1 cup cucumber, thinly sliced;1 cup stalk celery, finely diced;1 cup broccoli;1 cup chopped (1/2  pieces) cauliflower;1 cup chopped carrots, chopped;1 Tbsp garlic, chopped;1 cup chives;⅞ cup flat-leaf parsley;6 oz nonfat plain Greek yogurt;1 tbsp lemon juice;¼ cup reduced-fat sour cream",6 g,Raw Veggies with Ranch Dip,https://www.bodybuilding.com/recipes/raw-veggies-with-ranch-dip
381,37 g,"Whether you're trying to build muscle or blast fat, cast these simple spells to make meal planning a cinch. It might seem like magic, but there's no hocus-pocus!",12 g,garlic-shrimp-skewers-header-960x540.jpg,"2 tbsp olive oil;1 tbsp light soy sauce;1 tsp ginger, pureed;½ cup brown sugar;1 lb jumbo shrimp;1 whole yellow pepper, sliced;¼ cup, sliced onions;5 whole mushrooms, sliced",31 g,Garlic Shrimp Skewers,https://www.bodybuilding.com/recipes/garlic-shrimp-skewers
91,7 g,This healthy version of a favorite recipe will provide you with a good dose of protein and carbohydrates to get you through the afternoon. You can easily make this the night before and store it in your fridge to grab quickly on your way out the door.,3 g,chicken-and-fried-rice-header-960x540.jpg,"½ cup brown rice;½ tbsp soy sauce;½ tbsp olive oil;3 oz chicken breast;2 large egg whites;⅛ cup, chopped green bell pepper, chopped;⅛ whole mushrooms, sliced;⅛ cup onion, finely chopped;¾ cup low-sodium chicken broth",10 g,Chicken and Fried Rice,https://www.bodybuilding.com/recipes/chicken-and-fried-rice
450,9 g,This is a delicious and heart-healthy salad. Simply serve on lettuce or spoon the salad into pita halves for a quick and delicious lunch or dinner!,30 g,mediterranean-chicken-salad-recipe-084-header-960x540.jpg,"3 cup chicken breast, shredded;½ cup black olives, sliced;¼ cup red onion, diced;1 medium (approx 2-3/4  long, 2-1/2  dia) green bell pepper, sliced;3 italian tomato tomato, diced;4 oz reduced-fat feta cheese;½ cup slices cucumber, chopped;6 tbsp extra virgin olive oil;2 tbsp balsamic vinegar;⅞ cup fresh basil leaves, chopped;1 tbsp, leaves oregano",36 g,Mediterranean Chicken Salad,https://www.bodybuilding.com/recipes/mediterranean-chicken-salad
122,12 g,Thank you to the nutrition's section 'Favorite Recipe' and the Keto section's 'Keto Recipe's' threads for their helpful suggestions. Here are 5 very simple and delicious recipes used by the stars!,4 g,healthy-low-car-pancakes-recipe-008-header-960x540.jpg,1 cup egg whites;4 tbsp ground flaxseed;1 tsp splenda;1 dash cinnamon;1 tbsp smooth peanut butter;1 cup sugar-free maple syrup,10 g,Healthy Low-Carb Pancakes,https://www.bodybuilding.com/recipes/healthy-low-carb-pancakes
528,14 g,"Thank you to the nutrition's section ""Favorite Recipe"" and the Keto section's ""Keto Recipe's"" threads for their helpful suggestions.",32 g,low-carb-protein-bar-recipe-014-header-960x540.jpg,"½ cup pecans;6 tbsp walnut, pieces;⅓ cup ground flaxseed;⅓ cup coconut butter;6 whole egg;1 pinch salt;⅓ cup sugar-free maple syrup;6 scoop(s) vanilla protein powder",46 g,Low Carb Protein Bar,https://www.bodybuilding.com/recipes/low-carb-protein-bar
611,68 g,Here is a physique-friendly bodybuilder dessert that can also be for breakfast.,13 g,summer-muesli-header-960x540.jpg,"1 cup rolled oats;2 tsp ground flaxseed;1 oz (22 whole kernels) almonds, dry roasted, unsalted, sliced;⅛ cup frozen mixed berries;1 tsp cinnamon;1 tbsp lemon juice;1 cup, sliced granny smith apple;1 cup nonfat plain Greek yogurt;1 cup blueberries;3 scoop vanilla caramel protein powder;½ cup apple juice",57 g,Summer Muesli,https://www.bodybuilding.com/recipes/summer-muesli
352,5 g,"Lean pork chops make a nice change from eating chicken, and the leanest cuts—from the loin—are leaner than chicken thighs, so don't feel guilty about eating pork chops from time to time. As with all meats, be sure to trim any excess fat before cooking. These barbecued pork chops are tangy and delicious.",18 g,bbq-pork-chops-header-960x540.jpg,"4 chop without refuse (yield from 1 raw chop, with refuse, weighing 259g) lean pork chops;2 tbsp worcestershire sauce;4 tbsp low-sugar ketchup;1 tbsp chili powder;1 tbsp cider vinegar;1 tbsp brown sugar",41 g,BBQ Pork Chops,https://www.bodybuilding.com/recipes/bbq-pork-chops
111,18 g,"A low fat, high fiber, high protein salad recipe.",2 g,three-bean-salad-header-960x540.jpg,"3 cup green beans;1 tbsp extra virgin olive oil;1 tsp dijon mustard;1 15 oz can cannellini beans;1 14 oz can kidney beans, canned;1 tbsp chopped shallot, finely chopped;4 tbsp white vinegar",4 g,Three Bean Salad,https://www.bodybuilding.com/recipes/three-bean-salad
218,15 g,"Wild game is different. It doesn't taste like regular beef or chicken. But that's part of the fun. If you have a picky eater, or one who's NOT interested in eating wild boar, have them help you prepare the meal. Here's a venison chili recipe for any occasion.",7 g,venison-chili-header-960x540.jpg,"16 oz ground venison;8 oz dark kidney beans;4 oz low-sodium black beans;1 small onions;15 oz tomato sauce, canned;2 clove garlic, minced;1 dash table salt;1 tsp, whole cumin seed;1 tsp cumin;1 tsp safflower oil",24 g,Venison Chili,https://www.bodybuilding.com/recipes/venison-chili
131,20 g,The fantasy isn't just how good and healthy these meals are for your body; it's how your body will look after you start eating this way!,5 g,jalapeno-potatoes-recipe-041-header-960x540.jpg,"2 potato small (1-3/4  to 2-1/4  dia) red potatoes, quartered;1 tbsp olive oil;4 tbsp chopped onions, quartered;2 whole jalapeno pepper, diced",2 g,Jalapeno Potatoes,https://www.bodybuilding.com/recipes/jalapeno-potatoes
176,1 g,The fantasy isn't just how good and healthy these meals are for your body; it's how your body will look after you start eating this way!,4 g,tex-mex-turkey-burgers-header-960x540.jpg,"1 lb ground 99% fat-free turkey breast;2 tbsp salsa;¼ cup cilantro;1 whole egg;slice, large (1/4  thick) onions",35 g,Tex-Mex Turkey Burgers,https://www.bodybuilding.com/recipes/tex-mex-turkey-burgers
440,66 g,"Rather than going for an ice cream sundae, try this recipe for a low-fat, high protein option. This is also great as a post-workout treat after a hard session.",7 g,high-protein-pudding-parfait-header-960x540.jpg,"1 box sugar-free fat-free banana pudding powder;1 box sugar-free fat-free chocolate pudding powder;3 cup milk (2% fat);1 scoop(s) chocolate protein powder;1 scoop(s) banana or vanilla protein powder;2 cup, mashed banana;1 tsp walden Farms Caramel Syrup",29 g,High Protein Pudding Parfait,https://www.bodybuilding.com/recipes/high-protein-pudding-parfait
517,89 g,This is a great party dessert recipe that's lighter in calories but still high on taste.,11 g,fruit-pizza-recipe-072-header-960x540.jpg,"1¼ cup rolled oats;½ cup fat-free cream cheese;8 tbsp splenda;4 tbsp low-sugar strawberry jam;½ cup, whipped heavy whipping cream;½ cup strawberries;½ cup blueberries;½ cup frozen peaches",15 g,Fruit Pizza,https://www.bodybuilding.com/recipes/fruit-pizza
483,16 g,A great protein pancake recipe to start the day.,34 g,protein-pancakes-with-agave-nectar-header-960x540.jpg,2 cup ground almonds;2 whole egg;½ cup water;½ cup coconut flakes;2 large egg whites;2 scoop(s) unflavored whey protein powder,28 g,Protein Pancakes with Agave Nectar,https://www.bodybuilding.com/recipes/protein-pancakes-with-agave-nectar
288,35 g,This is one of my favorite flavor combinations. It's the go-to lunch I look forward to. The secret is to use a knife and fork to mix it all together like fried rice!,2 g,lemon-pepper-tilapia-header-960x540.jpg,4 fillet tilapia;2 cup brown rice;15 whole asparagus spears;1 tbsp lemon juice;lemon pepper seasoning;1 dash black pepper,32 g,Lemon Pepper Tilapia,https://www.bodybuilding.com/recipes/lemon-pepper-tilapia
184,6 g,"This dish seems to have a lot going on, but it comes together easily in just less than 30 minutes. It's light, flavorful, and festive enough to serve to guests. Don't worry, your macronutrient profile is still safe.",7 g,tilapia-veracruz-header-960x540.jpg,"4 fillet tilapia;1 tbsp olive oil;½ onion, finely diced;2 clove garlic, minced;2 tomato, diced;1 jalapeno pepper, diced;¼ cup green olives, sliced;4 tbsp, drained capers, canned;⅛ cup cilantro;½ tsp, ground oregano;¼ tsp marjoram, dried;1 bay leaf;salt and pepper to taste",25 g,Tilapia Veracruz,https://www.bodybuilding.com/recipes/tilapia-veracruz
221,11 g,Ginger and salmon blend together perfectly. You'll enjoy the flavor almost as much as you will the health benefits!,8 g,6-superb-salmon-recipes-ginger-grilled-salmond-header-960x540.jpg,"1 tsp ground ginger;1 tsp garlic, minced;⅓ cup light soy sauce;¼ cup orange juice, fresh squeezed;1 to taste powdered Stevia;½ whole onion, finely diced;3 fillet salmon fillet",26 g,Ginger-Grilled Salmon,https://www.bodybuilding.com/recipes/ginger-grilled-salmon
498,77 g,"Tilapia, sweet potato, and asparagus make a perfect trio for people trying to lean out. If you're tired of the usual plain recipe, try this twist. It will make you feel like you are dining at fancy restaurant?without all the butter and added calories, of course. This recipe adds flavor and it presents a new way to assemble the usual ingredients. Impress your loved one with this home-cooked dinner for two!",6 g,caribbean-spiced-tilapia-header-960x540.jpg,"2 fillet tilapia;1 sweet potato, peeled;10 asparagus spears;½ tbsp coconut oil;1 tbsp lemon juice;2 cup balsamic vinegar;½ cup blackberries;1 tsp orange zest;1 tsp lemon zest;1 g almond milk;1 tsp paprika;1 tsp cayenne pepper;1 tsp ground ginger;1 tsp coriander;1 tsp chili powder;1 tsp garlic powder;1 tsp onion powder;1 salt and pepper to taste;1 to taste powdered Stevia",33 g,"Caribbean Spiced Tilapia With Sweet Potato Puree, Coconut Asparagus And Blackberry Balsamic Glaze",https://www.bodybuilding.com/recipes/caribbean-spiced-tilapia-with-sweet-potato-puree-coconut-asparagus-and-blackberry-balsamic-glaze
302,11 g,This quick recipe is great for a busy weekday evening and will provide you with healthy fats and protein. Combine with your choice of sides and you'll have a meal in 20 minutes flat.,17 g,6-superb-salmon-recipes-terriyaki-salmon-2-header-960x540.jpg,"3 fillet salmon fillet;2 tbsp olive oil;3 tbsp light soy sauce;3 tbsp low-sugar ketchup;2 tbsp onion powder;1 tbsp splenda;½ tsp garlic, minced",27 g,Teriyaki Salmon,https://www.bodybuilding.com/recipes/teriyaki-salmon
341,7 g,Mixing tomatoes with salmon is something most people don't ever consider. You'll be glad you did! The lycopene in this recipe offers additional antioxidant benefits.,22 g,6-superb-salmon-recipes-salmon-with-tomato-2-header-960x540.jpg,"2 fillet salmon fillet;2 tbsp olive oil;1 clove garlic, minced;¼ tsp paprika;⅛ tsp cayenne pepper;2 slice, medium (1/4  thick) tomatoes, sliced;1 small (5-1/2  long) carrots, sliced;1 bunch flat-leaf parsley;⅛ cup low-fat parmesan cheese",28 g,Salmon With Tomatoes,https://www.bodybuilding.com/recipes/salmon-with-tomatoes
912,164 g,"Get your vitamin C and a great, tangy taste with this recipe. Because it's served with brown rice, it's a good option for long-term energy.",17 g,6-superb-salmon-recipes-asian-salmon-header-960x540.jpg,"1 fillet salmon fillet;1 cup, chopped red bell pepper, sliced;½ whole onion, sliced;2 tbsp olive oil;2 Tbsp rice wine vinegar;2 tbsp light soy sauce;2 tbsp brown sugar;½ tsp splenda;3 cup brown rice;1 tsp garlic, minced;½ cup snow peas",25 g,Asian Salmon,https://www.bodybuilding.com/recipes/asian-salmon
252,5 g,Need something different than your regular chicken and broccoli? Salmon salad is a perfect take-to-work option.,8 g,6-superb-salmon-recipes-salmon-salad-2-header-960x540.jpg,"1 can drained solids (total) canned salmon;⅓ cup nonfat plain Greek yogurt;½ tsp garlic, minced;1⅞ sprigs fresh dill;¼ cup onion, finely chopped",41 g,Salmon Salad,https://www.bodybuilding.com/recipes/salmon-salad
283,18 g,"My favorite dish to order at Mexican restaurants is fish tacos. I love the combination of flaky white fish, crunchy red cabbage, creamy avocado, and bright flavors from the lime and cilantro. But let's face it: when you have serious fitness goals, you probably aren't frequenting Mexican restaurants. The chips and salsa alone do me in! I was determined to come up with my own healthy version of fish tacos. This recipe is sure to make you forget you're dieting!",12 g,tilapia-tacos-header-960x540.jpg,"4 corn tortilla;4 fillet tilapia;1 tbsp coconut oil;1 avocado;½ cup, shredded red cabbage;1 lime;1 tsp garlic powder;1 tsp onion powder;1 tsp cumin;1 tsp cayenne pepper;1 tsp paprika;1 tsp chili powder;¼ cup cilantro",26 g,Tilapia Tacos,https://www.bodybuilding.com/recipes/tilapia-tacos
84,7 g,Crab is an excellent source of protein and the added oats in this recipe will help to boost the fiber content while providing you with a slow digesting form of carb.,1 g,healthy-valentines_a-header-960x540.jpg,"1 cup green onion, chopped;2 tbsp flat-leaf parsley;2 tbsp nonfat plain Greek yogurt;1 cup lemon juice;1 tbsp fat-free mayonnaise;16 oz crab meat;1 cup oatmeal, cooked;2 large egg whites;1 tsp worcestershire sauce",12 g,Low Fat Crab Cakes,https://www.bodybuilding.com/recipes/low-fat-crab-cakes
321,19 g,"If you're working towards building muscle, getting in enough calories can become challenging. This recipe makes it easier by providing a healthy source of carbs, protein, and fat.",22 g,top-10-beginner-recipes__12-header-960x540.jpg,"2 cup natural peanut butter;1 scoop(s) vanilla whey protein powder;¾ cup oatmeal, cooked;1 cup (1 nlea serving) crispy rice cereal;¼ cup honey",13 g,Peanut Butter Protein Balls,https://www.bodybuilding.com/recipes/peanut-butter-protein-balls
311,26 g,"Oh yes, you can still have dessert! Instead of reaching for a cookie, try this recipe. It's sweet and creamy, but has less sugar and more nutrition for you and your baby!",21 g,chocolate-dessert-recipe-101-header-960x540.jpg,"2 fruit, without skin and seed avocado;1 tbsp cocoa powder, unsweetened;1 tbsp agave syrup;1 small (6  to 6-7/8  long) banana",4 g,Chocolate Dessert,https://www.bodybuilding.com/recipes/chocolate-dessert
350,72 g,"If you're tired of the classic nacho chips and salsa, this will give you a change of pace while still being very healthy and helping you get in plenty of vitamins and fiber.",4 g,fruit-salsa-with-cinnamon-and-sugar-chips-header-960x540.jpg,"2 whole kiwi;2 whole mango;¼ cup raspberries;¼ cup blueberries;4 cup strawberries;1 packet splenda;1 cup brown sugar;1 whole orange juice, fresh squeezed;10 whole whole-wheat tortilla (10-inch);16 tbsp splenda;1 tbsp cinnamon",6 g,Fruit Salsa with Cinnamon and Sugar Chips,https://www.bodybuilding.com/recipes/fruit-salsa-with-cinnamon-and-sugar-chips
100,14 g,This is a great recipe for someone who is following a much more strict diet and is looking to maximize their protein intake while curing their craving for banana bread.,0 g,top-10-beginner-recipes__14-header-960x540.jpg,3 large egg whites;⅓ cup water;½ tsp banana extract;1 scoop(s) vanilla whey protein powder;1 scoop(s) banana or vanilla protein powder;6 tbsp splenda;2 tsp baking powder,10 g,All-Protein Banana Loaves,https://www.bodybuilding.com/recipes/all-protein-banana-loaves
341,40 g,"If you're on a low carb diet, then this tuna salad dish will fit your diet perfectly. It's fast, simple, and contains plenty of Lycopene, a healthful plant compound found in tomatoes.",3 g,tuna-salad-header-960x540.jpg,"2 cup spinach;1 can tuna, canned in water;¼ cup salsa;1 cup chopped carrots, chopped;1 cucumber (8-1/4 ) cucumber, chopped;1 salt and pepper to taste;1 cup, chopped sweet pepper, red",39 g,Tuna Salad,https://www.bodybuilding.com/recipes/tuna-salad
257,21 g,"For those of you who find you're constantly craving cheesecake, this is a fantastic recipe that you can use to help beat those cravings while giving your diet a boost in protein.",6 g,high-protein-berry-cheesecake-recipe-091-header-960x540.jpg,"2 scoop Optimum Nutrition Gold Standard 100% Whey, Strawberry Banana;2 cup fat-free cottage cheese;½ cup reduced-fat sour cream;3 tbsp splenda;1 tsp vanilla extract;1 cup strawberries, frozen",29 g,High Protein Berry Cheesecake,https://www.bodybuilding.com/recipes/high-protein-berry-cheesecake
427,51 g,"Cod Fish is another good source of protein and with the added Walnuts in this recipe, you'll make sure you're getting sufficient essential fatty acids as well.",14 g,cod-with-toasted-quinoa-recipe-135-header-960x540.jpg,"2 cup mandarin oranges, drained;10 oz cod atlantic;¼ tsp table salt;¼ tsp, ground pepper;½ tsp garlic powder;1 large (7-1/4  to 8-/1/2  long) carrots;1 tbsp olive oil;2 tbsp white vinegar;2 tbsp walnuts, chopped;4 tsp soy sauce;2 tbsp extra virgin olive oil;2½ cup quinoa;2 tbsp onion flakes;3 cup water;1 tsp table salt;1 cup snow peas;⅓ cup rice wine vinegar;⅓ cup mushrooms, sliced;6 tbsp shrimp",24 g,Cod Fish with Mandarins and Walnuts and Toasted Quinoa,https://www.bodybuilding.com/recipes/cod-fish-with-quinoa
187,16 g,"For those days when you need a warm meal on the go, this tuna melt works perfectly. Unlike most tuna melts that are high in saturated fat and carbs, this one is moderate in carbs and packs the protein-punch of a can of tuna to support your lean muscle building goals. Due to the small size, this one cooks perfectly in a toaster oven.",1 g,tuna-melt-header-960x540.jpg,"1 muffin english muffin;1 can tuna, canned in water;⅛ cup low-sodium tomato sauce;1 tbsp, leaves oregano;2 oz fat-free mozzarella cheese",28 g,Protein Packed Tuna Melt,https://www.bodybuilding.com/recipes/protein-packed-tuna-melt
413,48 g,This smoothie is a good option for those of you who are looking for a quick afternoon snack to help get you through your afternoon or who are in need of a fast meal replacement. Eat with one ounce of nuts for a complete meal.,5 g,top-10-beginner-recipes__06-header-960x540.jpg,1 scoop(s) vanilla whey protein powder;1 cup strawberry nonfat Greek yogurt;½ cup whole milk;2 cubes ice;1 cup mixed berries;1 tsp vanilla extract,44 g,Antioxidant-Infused Berry Smoothie,https://www.bodybuilding.com/recipes/antioxidant-infused-berry-smoothie
77,6 g,"Pancakes are a favored breakfast for many, but unfortunately they also usually contain far too many calories and fat. Here is a lighter recipe that will fit much better with your overall meal plan.",1 g,top-10-beginner-recipes__02-header-960x540.jpg,3 large egg whites;⅓ cup raw oats;1 scoop(s) banana or vanilla protein powder;2 tbsp fat-free cottage cheese;1 tsp vanilla extract;1 tsp splenda,11 g,Protein Pancakes,https://www.bodybuilding.com/recipes/protein-pancakes
213,27 g,These protein-packed muffins are great to start your day off with because they combine all three macronutrients for a well balanced breakfast that will provide plenty of ingredients throughout the day.,5 g,top-10-beginner-recipes__04-header-960x540.jpg,"1¼ cup(s) unflavored whey protein powder;1¼ cup raw oats;1 tsp baking powder;¼ tsp table salt;½ tsp cinnamon;1 cup unsweetened applesauce;½ cup sweetened condensed milk;6 tbsp splenda;2 tbsp olive oil;2 large egg whites;¼ cup blueberries;½ cup raspberries;¼ cup walnuts, chopped;½ tsp baking soda",14 g,High-Fiber Protein-Packed Breakfast Muffins,https://www.bodybuilding.com/recipes/high-fiber-protein-packed-breakfast-muffins
